RegionName,City,CountyName,State,zip_code,2010-01-31,2011-01-31,Growth_2011,2012-01-31,Growth_2012,2013-01-31,Growth_2013,2014-01-31,Growth_2014,2015-01-31,Growth_2015,2016-01-31,Growth_2016,2017-01-31,Growth_2017,2018-01-31,Growth_2018,2019-01-31,Growth_2019,2020-01-31,Growth_2020,2021-01-31,Growth_2021,2022-01-31,Growth_2022,2023-01-31,Growth_2023,2024-01-31,Growth_2024,2025-01-31,Growth_2025,Metro,Median_Income_2023,Vacant_Homes_2023,Population_2023,Median_Income_2022,Vacant_Homes_2022,Population_2022,Median_Income_2021,Vacant_Homes_2021,Population_2021,Median_Income_2020,Vacant_Homes_2020,Population_2020,Median_Income_2019,Vacant_Homes_2019,Population_2019,Median_Income_2018,Vacant_Homes_2018,Population_2018,Median_Income_2017,Vacant_Homes_2017,Population_2017,Median_Income_2016,Vacant_Homes_2016,Population_2016,Median_Income_2015,Vacant_Homes_2015,Population_2015,Median_Income_2014,Vacant_Homes_2014,Population_2014,Median_Income_2013,Vacant_Homes_2013,Population_2013,Median_Income_2012,Vacant_Homes_2012,Population_2012,Median_Income_2011,Vacant_Homes_2011,Population_2011,Affordability_Ratio_2011,Vacancy_Rate_2011,Affordability_Ratio_2012,Vacancy_Rate_2012,Affordability_Ratio_2013,Vacancy_Rate_2013,Affordability_Ratio_2014,Vacancy_Rate_2014,Affordability_Ratio_2015,Vacancy_Rate_2015,Affordability_Ratio_2016,Vacancy_Rate_2016,Affordability_Ratio_2017,Vacancy_Rate_2017,Affordability_Ratio_2018,Vacancy_Rate_2018,Affordability_Ratio_2019,Vacancy_Rate_2019,Affordability_Ratio_2020,Vacancy_Rate_2020,Affordability_Ratio_2021,Vacancy_Rate_2021,Affordability_Ratio_2022,Vacancy_Rate_2022,Affordability_Ratio_2023,Vacancy_Rate_2023
79366,Ransom Canyon,Lubbock County,TX,79366,209688.4840970908,209834.2661135315,0.000695231390834,207813.8975518602,-0.0096284014955793,214293.74281851773,0.0311810006115711,215247.6927348567,0.0044515994904567,225048.5665071525,0.0455330026899223,217390.1187033556,-0.034030200337017,238629.47969392865,0.0977015934176643,266988.7317640589,0.1188421988201307,285173.67255158187,0.0681112669713463,283495.4191516602,-0.0058850222213908,299892.5774184161,0.0578392353422261,338043.10590426414,0.1272139804668111,362736.5995414674,0.0730483574606505,367604.4068775726,0.0134196751644542,372339.3384299515,0.0128805081326346,"Lubbock, TX",111458.0,69.0,1081.0,120156.0,70.0,1073.0,119009.0,73.0,1107.0,106111.0,68.0,903.0,105000.0,46.0,1056.0,106875.0,57.0,1056.0,97368.0,45.0,1236.0,95469.0,38.0,1325.0,96389.0,35.0,1319.0,110179.0,23.0,1411.0,102500.0,25.0,1397.0,102708.0,25.0,1218.0,101458.0,29.0,1244.0,2.0681884731961158,0.023311897106109324,2.023346745646495,0.020525451559934318,2.0906706616440753,0.01789549033643522,1.9536181371663994,0.01630049610205528,2.3347951167368945,0.026535253980288095,2.2770754768915102,0.028679245283018868,2.4507998489640195,0.03640776699029126,2.498140180248504,0.05397727272727273,2.715939738586494,0.043560606060606064,2.671687375971013,0.0753045404208195,2.519915110776631,0.06594399277326106,2.8133685034810094,0.06523765144454799,3.2544689438305676,0.06382978723404255
77494,Katy,Fort Bend County,TX,77494,248192.6991730047,245887.0291289813,-0.0092898383059052,243292.813872668,-0.0105504355618225,255563.70684315643,0.0504367259154257,287204.28460023605,0.1238070074499974,314380.5374822905,0.0946234242984275,326536.1332739648,0.0386652300076273,315416.9627041233,-0.0340518841157235,316347.7609477972,0.0029510088350798,320788.4170613655,0.0140372610833843,324574.782213155,0.0118033100648555,344408.35314995004,0.06110632132773,420597.9311987069,0.2212187287327061,468999.7994705779,0.1150787121893951,483849.8302043229,0.0316631920749393,496241.9553459833,0.0256115107789279,"Houston-The Woodlands-Sugar Land, TX",146105.0,1920.0,137213.0,144444.0,1699.0,130920.0,137275.0,1722.0,129165.0,142037.0,1705.0,126310.0,135943.0,1874.0,118291.0,139669.0,1639.0,114989.0,137600.0,1354.0,105854.0,137231.0,806.0,97515.0,134125.0,696.0,88077.0,131694.0,851.0,79117.0,126425.0,989.0,71613.0,123782.0,1023.0,64378.0,120111.0,1141.0,55808.0,2.047164948497484,0.02044509747706422,1.9654942873169603,0.015890521606760074,2.021464954266612,0.013810341697736445,2.180845631541574,0.01075622179809649,2.3439369057393518,0.007902176504649342,2.3794633375400953,0.008265395067425524,2.29227443825671,0.012791202977686248,2.264981928329101,0.014253537294871683,2.359727364125887,0.01584228724078755,2.285142478460929,0.013498535349536853,2.5088934849750504,0.013331784926257114,2.911840790885789,0.01297739077299114,3.2100188184564384,0.013992843243715974
77449,Katy,Harris County,TX,77449,119885.09264204653,115724.59785631797,-0.0347040211092048,108037.43994142396,-0.0664263091623638,111699.6990813356,0.0338980555434972,128868.12096147204,0.1537015947342439,145286.27613669744,0.1274027668963526,161627.18006471125,0.1124738300308483,170909.81283982936,0.0574323747491083,177511.18980857191,0.0386249148545328,186756.59747265643,0.0520835203349984,193609.859765708,0.0366962259207736,207888.2226453086,0.0737481184939608,251458.18930092183,0.2095836219156616,282248.7175611481,0.1224479041459215,278752.35170879035,-0.0123875349463732,278857.58108786144,0.0003775013140733,"Houston-The Woodlands-Sugar Land, TX",85934.0,1446.0,123042.0,82300.0,1370.0,122098.0,77171.0,1347.0,119994.0,76481.0,1223.0,123157.0,78112.0,1544.0,128294.0,76163.0,1383.0,122814.0,72397.0,1397.0,119204.0,71096.0,1235.0,112317.0,68854.0,1339.0,106175.0,66550.0,1703.0,99450.0,65420.0,1559.0,95615.0,65445.0,1903.0,90599.0,63836.0,1991.0,86302.0,1.8128422497700039,0.02307014901161039,1.6508127426300552,0.021004646850406736,1.7074243210231672,0.016304973069079118,1.9364105328545762,0.017124183006535947,2.1100629758140044,0.012611255003531906,2.273365309788332,0.010995664057978756,2.360730594359288,0.011719405389080903,2.3306748658610075,0.01126093116419952,2.3908822904631353,0.012034857436824793,2.5314765728181903,0.00993041402437539,2.6938645688835003,0.011225561278063904,3.05538504618374,0.011220495012203312,3.2844824814526046,0.011752084654020578
77084,Houston,Harris County,TX,77084,123054.1624020209,118311.21978331292,-0.0385435366518742,112657.16657283096,-0.0477896620526553,114784.73785609468,0.0188853612068104,129468.6763315141,0.1279258789076003,145751.1071936557,0.1257634767227344,160920.13157575307,0.1040748483779452,169009.64452190953,0.0502703600037036,174465.51038485052,0.0322813877182832,182739.97459185016,0.0474275069539368,191371.9619903336,0.0472364484988191,206543.1534392203,0.079275936198287,246691.6826816713,0.1943832490882615,276142.2687316701,0.1193821604760043,274202.058849869,-0.0070261242174642,274553.21540893894,0.0012806488782135,"Houston-The Woodlands-Sugar Land, TX",76327.0,2871.0,109115.0,75510.0,2992.0,108557.0,69857.0,3279.0,107864.0,66471.0,3144.0,108161.0,64133.0,2886.0,107673.0,65742.0,2372.0,107700.0,65617.0,2243.0,104582.0,66914.0,1590.0,103635.0,63597.0,1847.0,102437.0,64652.0,2089.0,101488.0,62785.0,2169.0,99266.0,62248.0,2084.0,98697.0,62025.0,2511.0,94005.0,1.9074763366918648,0.026711345141215894,1.80981182644954,0.02111513014579977,1.8282191264807626,0.021850381802429836,2.0025471189060524,0.020583714330758316,2.2917921787766042,0.01803059441412771,2.404879869321115,0.015342307135620206,2.5756990493608294,0.02144728538371804,2.653790733242836,0.02202414113277623,2.849390712922367,0.026803376891142625,2.8790293810884986,0.02906777858932517,2.9566565045624675,0.03039939182674479,3.2670067895864294,0.027561557522776052,3.617884480349943,0.026311689501901662
79936,El Paso,El Paso County,TX,79936,123632.590265164,121567.9059284646,-0.0167001624108264,119343.86525075954,-0.0182946367358978,116816.6378818091,-0.0211760140635662,117219.16913088116,0.0034458383357969,118268.1213965313,0.0089486410237129,121525.837672539,0.0275451764815403,124717.3045279574,0.0262616322301604,126861.55971790948,0.0171929244146822,130972.00979565874,0.0324010684315193,135271.44553127812,0.0328271341512382,149081.0645660831,0.1020882047986384,170431.36909928816,0.1432127184988078,194193.98794766024,0.1394263214216667,206790.37398090705,0.0648649639794298,214156.66982796465,0.0356220442240591,"El Paso, TX",64958.0,1099.0,104427.0,60981.0,934.0,107512.0,58096.0,1367.0,107579.0,57402.0,1495.0,108668.0,54870.0,1830.0,111620.0,54692.0,2143.0,112355.0,52785.0,2220.0,111918.0,52422.0,1873.0,113255.0,51784.0,1893.0,113887.0,52088.0,1576.0,113451.0,52024.0,1371.0,114734.0,52102.0,1326.0,115538.0,50662.0,1630.0,114941.0,2.399587579023027,0.01418118860980851,2.290581268487957,0.011476743582198065,2.245437449673403,0.011949378562588247,2.250406410898502,0.013891459749142802,2.2838738103763965,0.016621739092258114,2.3182220760852124,0.01653790119641517,2.3627413948651586,0.019835951321503245,2.3195633679132137,0.019073472475635265,2.3869511535567476,0.016394911306217525,2.3565632823120817,0.01375749990797659,2.566115818061194,0.012706940945723607,2.794827390487007,0.00868740233648337,2.9895315118639774,0.01052409817384393
78660,Pflugerville,Travis County,TX,78660,171746.769852126,166776.1771027374,-0.0289414045671326,163493.7185685216,-0.0196818190177948,173709.61790222934,0.0624849653133686,189686.4973488267,0.0919746392832997,208720.3108747936,0.1003435341576495,230512.67437080247,0.1044094051253191,248153.8736344951,0.0765302789178308,256675.31421531911,0.0343393413772585,264176.9070058341,0.0292260002230758,273446.2490703142,0.0350876318809933,311258.29183343,0.1382796176274948,444107.0905195766,0.4268120791372867,441841.3050389216,-0.005101889902285,410379.9507116581,-0.0712051000403687,396772.0971039334,-0.0331591579562469,"Austin-Round Rock-Georgetown, TX",109522.0,1726.0,118437.0,105874.0,1493.0,113386.0,98610.0,1527.0,110569.0,93819.0,1432.0,101937.0,88204.0,1096.0,91300.0,83499.0,1075.0,89830.0,81693.0,1100.0,85450.0,78145.0,817.0,81698.0,76368.0,777.0,79067.0,75138.0,888.0,77046.0,76007.0,1023.0,75038.0,71507.0,1141.0,70407.0,72137.0,1253.0,67630.0,2.311936691333676,0.018527280792547687,2.286401591012371,0.016205774993963667,2.2854423658640566,0.013633092566433008,2.5245082028910364,0.011525582119772603,2.7330859898752564,0.009827108654685267,2.9498070813334505,0.01000024480403437,3.037639377113034,0.012873025160912814,3.073992673149608,0.011967048870087944,2.9950671965651683,0.012004381161007667,2.9146148335658473,0.01404789232565212,3.1564576800875166,0.013810380848158164,4.194675657097839,0.013167410438678497,4.034269873075013,0.014573148593767151
78873,Leakey,Real County,TX,78873,223111.7555004412,223111.7555004412,0.0,223111.7555004412,0.0,223111.7555004412,0.0,223111.7555004412,0.0,223111.7555004412,0.0,209764.45826965148,-0.059823370583283,206109.49512251592,-0.0174241297943673,193759.00361857296,-0.0599219919324995,220008.5768249525,0.1354753725821872,230890.20531053765,0.0494600194348014,256980.07395648616,0.1129968619104423,321283.30412502325,0.2502265221521627,334698.5449524986,0.0417551757443796,334347.3064795986,-0.0010494173882644,329653.19632437103,-0.0140396230633729,,44688.0,526.0,1498.0,59091.0,531.0,1278.0,57750.0,514.0,1324.0,41083.0,771.0,1839.0,37045.0,756.0,2053.0,35714.0,785.0,1908.0,35694.0,793.0,1920.0,37222.0,775.0,1960.0,36958.0,804.0,1904.0,40583.0,789.0,1748.0,38594.0,763.0,1731.0,37159.0,730.0,1767.0,27442.0,731.0,1709.0,8.130302292123067,0.42773551784669395,6.004245418349289,0.41312959818902095,5.780995893155445,0.44078567302137495,5.497665414100515,0.4513729977116705,6.0369001434179665,0.4222689075630252,5.635496702747071,0.39540816326530615,5.774345691783378,0.41302083333333334,5.425295503684072,0.4114255765199161,5.938954699013429,0.36824159766195813,5.62009116448501,0.4192495921696574,4.449871410501925,0.38821752265861026,5.4370937050485395,0.4154929577464789,7.489673848740122,0.35113484646194926
78932,Burton,Washington County,TX,78932,262288.3369785214,270631.2980898441,0.031808357197392,273442.304255832,0.0103868480320952,283174.5806000665,0.0355916995752385,297462.8542795153,0.0504574727335021,315721.8510513936,0.0613824432502789,344890.86907493515,0.092388340960263,352696.93490718567,0.0226334372179464,381612.45934945374,0.0819840536745162,411627.48411556944,0.0786531572299374,446504.5092386198,0.0847295831034893,533999.4726571855,0.1959553859103511,634636.2507794948,0.1884585721059608,669497.3758318505,0.0549308757725978,643241.5253376969,-0.0392172567689763,672734.8954162226,0.0458511599714305,"Brenham, TX",94265.0,183.0,501.0,68214.0,138.0,486.0,82188.0,208.0,529.0,87768.0,238.0,470.0,76375.0,194.0,565.0,61583.0,183.0,555.0,55625.0,185.0,583.0,58750.0,119.0,520.0,58203.0,184.0,583.0,45625.0,174.0,485.0,36548.0,236.0,481.0,54375.0,229.0,475.0,53750.0,230.0,420.0,5.035000894694774,0.5476190476190477,5.028823986314151,0.48210526315789476,7.748018512642731,0.49064449064449067,6.519733792427732,0.35876288659793815,5.424494459931509,0.3156089193825043,5.870482877871237,0.22884615384615384,6.340619054511203,0.31732418524871353,6.196717590072808,0.32972972972972975,5.389557893493544,0.3433628318584071,5.0873269214134975,0.5063829787234042,6.497292459448892,0.3931947069943289,9.303607042241985,0.2839506172839506,7.102290095282983,0.3652694610778443
76239,Forestburg,Montague County,TX,76239,191161.5860182049,191161.5860182049,0.0,191135.5550779141,-0.0001361724436013,194818.0112153868,0.0192662016021644,202156.3930186717,0.0376678817194768,212228.43508312936,0.0498230202570313,226720.83144188047,0.0682867795405195,239846.0321823043,0.0578914635102176,264411.7331765663,0.1024227950353995,284761.49933404214,0.0769624173367785,301617.1991743452,0.0591923412389759,333711.0164049215,0.1064057929005068,406631.2812494039,0.218513208314351,429058.5160919074,0.0551537372471547,460670.4781148343,0.0736775074664999,490222.1828573922,0.0641493348206076,"Gainesville, TX",65000.0,117.0,1201.0,56042.0,103.0,1157.0,57313.0,93.0,1080.0,60583.0,70.0,1310.0,70739.0,106.0,1087.0,69444.0,106.0,1214.0,66750.0,149.0,1263.0,62500.0,138.0,1089.0,54028.0,166.0,1168.0,55568.0,166.0,1191.0,56875.0,178.0,1050.0,59402.0,177.0,1214.0,53984.0,184.0,1209.0,3.541078579175402,0.152191894127378,3.217661948720819,0.1457990115321252,3.4253716257650426,0.16952380952380952,3.6380001622997353,0.13937867338371115,3.9281194025899415,0.1421232876712329,3.6275333030700874,0.12672176308539945,3.593198984004559,0.11797307996832937,3.8075533260838417,0.08731466227347612,4.0255233935176085,0.09751609935602576,4.978578135357199,0.05343511450381679,5.822605977787265,0.08611111111111111,7.255831006198992,0.08902333621434745,6.6009002475678065,0.0974188176519567
78609,Buchanan Dam,Llano County,TX,78609,185720.1350095928,183785.6431648096,-0.0104161664791127,183740.8228765556,-0.0002438726305393,185414.5958939976,0.0091094237591746,192627.36565351856,0.0389007657393084,200973.93574152145,0.0433301367107723,211501.40022003595,0.0523822377248669,218726.5095672456,0.0341610473485896,237324.61305121487,0.0850290324696624,259245.7216700725,0.0923676155499599,272159.1333999645,0.0498114747919588,311070.7122769424,0.1429736286667018,416281.38568073785,0.338221083668358,437970.01116307615,0.0521008775034974,399567.9043093464,-0.0876820464299572,383413.5471891237,-0.0404295664041022,,60663.0,349.0,1826.0,67578.0,475.0,1880.0,61977.0,496.0,1966.0,59898.0,762.0,1999.0,55221.0,838.0,1991.0,47708.0,754.0,2044.0,40574.0,686.0,1948.0,39063.0,647.0,1828.0,35000.0,639.0,1551.0,37132.0,653.0,1411.0,39779.0,632.0,1560.0,44050.0,601.0,1541.0,40380.0,641.0,1632.0,4.551402752967053,0.39276960784313725,4.171187806505235,0.3900064892926671,4.661117571934881,0.40512820512820513,5.187637769404248,0.46279234585400425,5.742112449757756,0.4119922630560928,5.414366541741186,0.35393873085339167,5.390804691853049,0.3521560574948665,4.974524462379787,0.36888454011741684,4.694694439978858,0.42089402310396784,4.543709863433913,0.3811905952976488,5.01913148872876,0.25228891149542215,6.16001340200565,0.2526595744680851,7.21972225513206,0.19112814895947425
